smiles,pka_value,filtered,filter_version
C=CC#CCC(=O)O,3.39,True,1.0
C=CC(=O)N1CCC(c2cc3c(Oc4ccc(NC(=O)NC5CC5)c(Cl)c4)ccnc3cc2OC)CC1,5.77,True,1.0
C=CC(=O)N1CCC(c2cc3c(Oc4ccc(NC(=O)NC5CC5)c(Cl)c4)ccnc3cc2OCC)CC1,5.28,True,1.0
C=CC(=O)NCCNC(=O)/N=C(/N)NCCC[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1.O=C(O)C(F)(F)F,10.61,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)[nH]c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.8,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N(C)CCN(C)C)cc4OC)nc32)c1,8.9,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1,8.8,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)c1,8.1,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,8.4,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.7,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C(C)C)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1,8.8,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.3,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.4,True,1.0
C=CC(=O)Nc1cccc(-n2c(=O)c(=O)n(CCC)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.5,True,1.0
C=CC(=O)O,-4.41,True,1.0
C=CC(C)(C)C(OC(=O)c1ccco1)c1cc(OC)c2c(c1OC)/C(=N/O)C=C/C2=N\O,10.2,True,1.0
C=CC(C)(C)NC(C)(C)C=C,10.1,True,1.0
C=CC(C)(C)NC(C)(C)CC,10.8,True,1.0
C=CC(C)(C)OCC(O)CNC(C)(C)C,9.67,True,1.0
C=CC(Cl)C(=O)O,2.55,True,1.0
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,3.35,True,1.0
C=CC1=C(C)/C(=C/C2=N/C(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,3.0,True,1.0
C=CC1=C(C)C(CC2=N/C(=C/c3[nH]c(CC4NC(=O)C(C)=C4CC)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,7.2,True,1.0
C=CC1=C(C)C2=NC1=CC1=NC(=C(CC)/C1=C/O)C=C1N=C(C(CC(=O)O)=C3NC(=C2)C(C)C3CCC(=O)O)C(C(=O)O)=C1C,1.6,True,1.0
C=CCC(=O)O,4.37,True,1.0
C=CCC([N+](=O)[O-])[N+](=O)[O-],5.15,True,1.0
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,True,1.0
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,7.91,True,1.0
C=CCC1(C(C)CCC)C(=O)N=C(S)N=C1O,7.3,True,1.0
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,8.08,True,1.0
C=CCC1(C2=CCCCC2)C(=O)NC(=S)NC1=O,7.09,True,1.0
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,7.68,True,1.0
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,7.79,True,1.0
C=CCC1(CCCC)C(=O)NC(=S)NC1=O,7.27,True,1.0
C=CCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,7.21,True,1.0
C=CCCCSCC(=O)O,3.739,True,1.0
C=CCCN(C1=NCCN1)c1c(Br)cccc1Br,11.2,True,1.0
C=CCCSCC(=O)O,3.717,True,1.0
C=CCN,9.49,True,1.0
C=CCN(C)C,8.64,True,1.0
C=CCN(C)CC=C,8.79,True,1.0
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1.O=C(O)/C=C/C(=O)O,8.18,True,1.0
C=CCN(C)Cc1ccc(COC(=O)C(O)(c2ccccc2)C2CCCCC2)o1,6.8,True,1.0
C=CCN(C1=NCCN1)c1c(Br)cccc1Br,10.7,True,1.0
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,10.42,True,1.0
C=CCN(CC(=O)O)CC(=O)O,2.43,True,1.0
C=CCN(CC(C)O)CC(C)O,8.2,True,1.0
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,True,1.0
C=CCN(CC=C)CC=C,8.31,True,1.0
C=CCN(Cc1nccs1)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,True,1.0
C=CCN1CCCCC1,9.63,True,1.0
C=CCN1CCN(c2cccc(Cl)c2)CC1,2.94,True,1.0
C=CCN1CCOCC1,7.02,True,1.0
